candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,generation_method,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,structure_path
634702a0660f1387211b4fff_p06,634702a0660f1387211b4fff,CeCrGaTiO6,6347029f660f1387211b4ffd,blind_test,higher_energy_0.10_0.15,a-a-a-,12.0,rocksalt,rocksalt,R3,native Glazer generator v1,147.904586383159,0.2746014830978207,1.9454732536665842,0.009419470492172668,1.929304434184344,step4/candidates/634702a0660f1387211b4fff_p06.cif
634702a0660f1387211b4fff_p07,634702a0660f1387211b4fff,CeCrGaTiO6,6347029f660f1387211b4ffd,blind_test,higher_energy_0.10_0.15,a-a-c+,6.0,rocksalt,rocksalt,Pc,native Glazer generator v1,163.24273266697267,0.02142787492289226,1.889827940845614,0.0012208339497611065,1.8876417254810496,step4/candidates/634702a0660f1387211b4fff_p07.cif
634702a0660f1387211b4fff_p08,634702a0660f1387211b4fff,CeCrGaTiO6,6347029f660f1387211b4ffd,blind_test,higher_energy_0.10_0.15,a-a-c+,12.0,rocksalt,rocksalt,Pc,native Glazer generator v1,147.68037821939575,0.159961601095675,1.9465682213265951,0.00935678380659212,1.929304434184344,step4/candidates/634702a0660f1387211b4fff_p08.cif
634702a0660f1387211b4fff_p09,634702a0660f1387211b4fff,CeCrGaTiO6,6347029f660f1387211b4ffd,blind_test,higher_energy_0.10_0.15,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,172.04350774306178,5.62608962933928,1.8764482079125429,0.004801903415171295,1.8696572909776017,step4/candidates/634702a0660f1387211b4fff_p09.cif
634702a0660f1387211b4fff_p10,634702a0660f1387211b4fff,CeCrGaTiO6,6347029f660f1387211b4ffd,blind_test,higher_energy_0.10_0.15,a0a0c+,12.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,164.33982190699302,11.073418124154236,1.896312343049703,0.018847968073063187,1.8696572909776017,step4/candidates/634702a0660f1387211b4fff_p10.cif
634702a0660f1387211b4fff_p11,634702a0660f1387211b4fff,CeCrGaTiO6,6347029f660f1387211b4ffd,blind_test,higher_energy_0.10_0.15,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,native Glazer generator v1,180.0,0.0,1.869657290977602,1.4475537224895361e-15,1.8696572909776017,step4/candidates/634702a0660f1387211b4fff_p11.cif
63470d9b660f1387211b9e1d_p01,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,original,original,original,original,Pc,MP parent,163.15506190081211,0.03485367957181518,1.9099955920998937,0.012085458194290351,1.897779013883361,step4/candidates/63470d9b660f1387211b9e1d_p01.cif
63470d9b660f1387211b9e1d_p02,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a0a0a0,0.0,rocksalt,rocksalt,F-43m,native Glazer generator v1,180.0,0.0,1.8893594948386383,0.0,1.8893594948386383,step4/candidates/63470d9b660f1387211b9e1d_p02.cif
63470d9b660f1387211b9e1d_p03,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a0a0c-,6.0,rocksalt,rocksalt,I-4,native Glazer generator v1,172.04350774306172,5.62608962933929,1.8962219735675514,0.004852505244962867,1.8893594948386383,step4/candidates/63470d9b660f1387211b9e1d_p03.cif
63470d9b660f1387211b9e1d_p04,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a0a0c-,12.0,rocksalt,rocksalt,I-4,native Glazer generator v1,164.33982190699305,11.073418124154221,1.9162954343612817,0.01904658549409196,1.8893594948386383,step4/candidates/63470d9b660f1387211b9e1d_p04.cif
63470d9b660f1387211b9e1d_p05,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a-a-a-,6.0,rocksalt,rocksalt,R3,native Glazer generator v1,163.27292765074517,0.03698123125764358,1.909668721277433,0.001235903452838339,1.9075334469593643,step4/candidates/63470d9b660f1387211b9e1d_p05.cif
63470d9b660f1387211b9e1d_p06,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a-a-a-,12.0,rocksalt,rocksalt,R3,native Glazer generator v1,147.90458638315906,0.2746014830978236,1.9659743962208378,0.009518731639546819,1.9496351918348147,step4/candidates/63470d9b660f1387211b9e1d_p06.cif
63470d9b660f1387211b9e1d_p07,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a-a-c+,6.0,rocksalt,rocksalt,Pc,native Glazer generator v1,163.24273266697273,0.021427874922870484,1.9097427003753424,0.0012336989381598635,1.9075334469593643,step4/candidates/63470d9b660f1387211b9e1d_p07.cif
63470d9b660f1387211b9e1d_p08,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a-a-c+,12.0,rocksalt,rocksalt,Pc,native Glazer generator v1,147.6803782193958,0.15996160109568086,1.9670809025067584,0.00945538436987709,1.9496351918348147,step4/candidates/63470d9b660f1387211b9e1d_p08.cif
63470d9b660f1387211b9e1d_p09,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,172.04350774306172,5.62608962933929,1.8962219735675514,0.004852505244962867,1.8893594948386383,step4/candidates/63470d9b660f1387211b9e1d_p09.cif
63470d9b660f1387211b9e1d_p10,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a0a0c+,12.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,164.33982190699308,11.073418124154221,1.9162954343612817,0.019046585494091956,1.8893594948386383,step4/candidates/63470d9b660f1387211b9e1d_p10.cif
63470d9b660f1387211b9e1d_p11,63470d9b660f1387211b9e1d,BiNaGeNiO6,63470d9b660f1387211b9e1c,blind_test,higher_energy_0.10_0.15,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,native Glazer generator v1,180.0,0.0,1.8893594948386383,0.0,1.8893594948386383,step4/candidates/63470d9b660f1387211b9e1d_p11.cif
63470d1b660f1387211b9a71_p01,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,original,original,original,original,P2_1/c,MP parent,154.52093857547757,0.147418613840911,1.996451203473313,0.010002281603076509,1.9861940839290833,step4/candidates/63470d1b660f1387211b9a71_p01.cif
63470d1b660f1387211b9a71_p02,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a0a0a0,0.0,rocksalt,rocksalt,Fm-3m,native Glazer generator v1,180.0,0.0,1.9470949502794597,9.805224261780596e-16,1.9470949502794594,step4/candidates/63470d1b660f1387211b9a71_p02.cif
63470d1b660f1387211b9a71_p03,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a0a0c-,6.0,rocksalt,rocksalt,I4/m,native Glazer generator v1,172.04350774306172,5.626089629339295,1.9541671341152884,0.005000789148112214,1.9470949502794594,step4/candidates/63470d1b660f1387211b9a71_p03.cif
63470d1b660f1387211b9a71_p04,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a0a0c-,12.0,rocksalt,rocksalt,I4/m,native Glazer generator v1,164.33982190699305,11.073418124154239,1.9748540040587148,0.01962861516663345,1.9470949502794594,step4/candidates/63470d1b660f1387211b9a71_p04.cif
63470d1b660f1387211b9a71_p05,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a-a-a-,6.0,rocksalt,rocksalt,R-3,native Glazer generator v1,163.27292765074517,0.03698123125765955,1.968024790445445,0.0012736704574375214,1.9658242659536624,step4/candidates/63470d1b660f1387211b9a71_p05.cif
63470d1b660f1387211b9a71_p06,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a-a-a-,12.0,rocksalt,rocksalt,R-3,native Glazer generator v1,147.904586383159,0.2746014830978221,2.026051066362694,0.009809607096509876,2.0092125650406745,step4/candidates/63470d1b660f1387211b9a71_p06.cif
63470d1b660f1387211b9a71_p07,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a-a-c+,6.0,rocksalt,rocksalt,P2_1/c,native Glazer generator v1,163.24273266697267,0.02142787492288221,1.9681010302126039,0.0012713985767234643,1.9658242659536624,step4/candidates/63470d1b660f1387211b9a71_p07.cif
63470d1b660f1387211b9a71_p08,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a-a-c+,12.0,rocksalt,rocksalt,P2_1/c,native Glazer generator v1,147.68037821939575,0.15996160109567167,2.0271913855066437,0.009744324047294077,2.0092125650406745,step4/candidates/63470d1b660f1387211b9a71_p08.cif
63470d1b660f1387211b9a71_p09,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a0a0c+,6.0,rocksalt,rocksalt,P4/mnc,native Glazer generator v1,172.04350774306172,5.626089629339295,1.9541671341152884,0.005000789148112214,1.9470949502794594,step4/candidates/63470d1b660f1387211b9a71_p09.cif
63470d1b660f1387211b9a71_p10,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a0a0c+,12.0,rocksalt,rocksalt,P4/mnc,native Glazer generator v1,164.33982190699302,11.073418124154239,1.9748540040587148,0.01962861516663345,1.9470949502794594,step4/candidates/63470d1b660f1387211b9a71_p10.cif
63470d1b660f1387211b9a71_p11,63470d1b660f1387211b9a71,Pr2GaNiO6,63470d1b660f1387211b9a70,blind_test,near_stable_0.05_0.10,a0a0a0_ordering_control,0.0,rocksalt,layered,P4/mmm,native Glazer generator v1,180.0,0.0,1.9470949502794597,9.805224261780596e-16,1.9470949502794594,step4/candidates/63470d1b660f1387211b9a71_p11.cif
6347162a103349a28b1be8fb_p01,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,original,original,original,original,P-1,MP parent,155.64048994183483,0.2228998955043522,2.033953774569545,0.20654912117792562,1.8265924770065924,step4/candidates/6347162a103349a28b1be8fb_p01.cif
6347162a103349a28b1be8fb_p02,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a0a0a0,0.0,rocksalt,rocksalt,F-43m,native Glazer generator v1,180.0,0.0,1.9884709072630835,8.005932084973442e-16,1.9884709072630833,step4/candidates/6347162a103349a28b1be8fb_p02.cif
6347162a103349a28b1be8fb_p03,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a0a0c-,6.0,rocksalt,rocksalt,I-4,native Glazer generator v1,172.04350774306172,5.626089629339306,1.995693375692958,0.0051070564036699686,1.9884709072630833,step4/candidates/6347162a103349a28b1be8fb_p03.cif
