candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,dft_selection_role,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,structure_path,ensemble_mean,ensemble_std,parent_decomposition_energy_per_atom,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,prediction_seed_123,prediction_seed_2026,prediction_seed_3407,prediction_seed_42,prediction_seed_7777
63470f75660f1387211bab33_p02,63470f75660f1387211bab33,EuGdSbWO6,63470f75660f1387211bab32,development,higher_energy_0.10_0.15,random_control,a0a0a0,0.0,rocksalt,rocksalt,F-43m,step4/candidates/63470f75660f1387211bab33_p02.cif,0.38886926174163816,0.06096046045422554,0.123133,180.0,0.0,2.0292730797379175,7.021666937153402e-16,2.0292730797379175,0.2896959185600281,0.39215707778930664,0.3848525881767273,0.4412892758846283,0.4363514482975006
63470faf103349a28b1bb3e6_p01,63470faf103349a28b1bb3e6,BaEuCoGaO6,63470faf103349a28b1bb3e3,development,unstable_negative_control_gt_0.20,parent_reference,original,original,original,original,F-43m,step4/candidates/63470faf103349a28b1bb3e6_p01.cif,0.2465916633605957,0.0014122307766228914,0.2301,180.0,0.0,1.9282465000000002,0.058233044299999925,1.8700134556999997,0.2489253729581833,0.24578939378261566,0.24620282649993896,0.24528422951698303,0.24675649404525757
63470faf103349a28b1bb3e6_p08,63470faf103349a28b1bb3e6,BaEuCoGaO6,63470faf103349a28b1bb3e3,development,unstable_negative_control_gt_0.20,gnn_lowest_energy,a-a-c+,12.0,rocksalt,rocksalt,Pc,step4/candidates/63470faf103349a28b1bb3e6_p08.cif,0.21659748256206512,0.021605707705020905,0.2301,147.68037821939575,0.1599616010956708,2.0075675782386995,0.00964999613211685,1.9897627980287473,0.21142300963401794,0.18568089604377747,0.24404872953891754,0.22776289284229279,0.21407188475131989
63470faf103349a28b1bb3e6_p03,63470faf103349a28b1bb3e6,BaEuCoGaO6,63470faf103349a28b1bb3e3,development,unstable_negative_control_gt_0.20,gnn_highest_uncertainty,a0a0c-,6.0,rocksalt,rocksalt,I-4,step4/candidates/63470faf103349a28b1bb3e6_p03.cif,0.23497416079044342,0.03913630545139313,0.2301,172.04350774306172,5.626089629339293,1.9352502230217432,0.004952380042227215,1.9282464999999993,0.24121081829071045,0.22024276852607727,0.29607897996902466,0.22807249426841736,0.18926574289798737
63470faf103349a28b1bb3e6_p05,63470faf103349a28b1bb3e6,BaEuCoGaO6,63470faf103349a28b1bb3e3,development,unstable_negative_control_gt_0.20,random_control,a-a-a-,6.0,rocksalt,rocksalt,R3,step4/candidates/63470faf103349a28b1bb3e6_p05.cif,0.2310206651687622,0.02455121837556362,0.2301,163.27292765074517,0.03698123125765374,1.94897373317362,0.001261340953790886,1.94679451040442,0.21953216195106506,0.21170178055763245,0.2724325358867645,0.23392432928085327,0.21751251816749573
634710ae103349a28b1bbc25_p01,634710ae103349a28b1bbc25,LaYMgTiO6,634710ae103349a28b1bbc22,development,stable_positive_control_le_0.03,parent_reference,original,original,original,original,P-1,step4/candidates/634710ae103349a28b1bbc25_p01.cif,0.028373107314109802,0.0010764050530269742,0.027701,149.17067036685964,0.27164114285962077,2.0321896811508364,0.06717572737183487,1.964147023244998,0.030139192938804626,0.02836872637271881,0.02752891182899475,0.028351351618766785,0.027477353811264038
634710ae103349a28b1bbc25_p07,634710ae103349a28b1bbc25,LaYMgTiO6,634710ae103349a28b1bbc22,development,stable_positive_control_le_0.03,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,Pc,step4/candidates/634710ae103349a28b1bbc25_p07.cif,0.03096257746219635,0.004578642547130585,0.027701,163.24273266697267,0.021427874922887235,1.9798334013146324,0.0012789777201171037,1.9775430646613943,0.03517967462539673,0.02563987672328949,0.026347294449806213,0.03401757776737213,0.03362846374511719
634710ae103349a28b1bbc25_p11,634710ae103349a28b1bbc25,LaYMgTiO6,634710ae103349a28b1bbc22,development,stable_positive_control_le_0.03,gnn_highest_uncertainty,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,step4/candidates/634710ae103349a28b1bbc25_p11.cif,0.13610385954380036,0.027541063725948334,0.027701,180.0,0.0,1.9587020985797157,0.0,1.9587020985797157,0.1771436631679535,0.1110391765832901,0.11311997473239899,0.14879292249679565,0.13042356073856354
634710ae103349a28b1bbc25_p06,634710ae103349a28b1bbc25,LaYMgTiO6,634710ae103349a28b1bbc22,development,stable_positive_control_le_0.03,random_control,a-a-a-,12.0,rocksalt,rocksalt,R3,step4/candidates/634710ae103349a28b1bbc25_p06.cif,0.039031976461410524,0.0040126461535692215,0.027701,147.904586383159,0.274601483097825,2.0381288929667782,0.009868084760539561,2.0211900128820433,0.04328599572181702,0.04311811923980713,0.03608447313308716,0.0345490425825119,0.03812225162982941
634710ef660f1387211bb457_p01,634710ef660f1387211bb457,MgSmCuSiO6,634710ef660f1387211bb456,development,unstable_negative_control_gt_0.20,parent_reference,original,original,original,original,Pc,step4/candidates/634710ef660f1387211bb457_p01.cif,0.2117518812417984,0.0012167643290013075,0.211729,159.01421966241648,0.10380372609673175,1.8827052218377096,0.10860316265031607,1.773953804147914,0.2122255265712738,0.2121441513299942,0.21286097168922424,0.21185144782066345,0.2096773087978363
