timestamp,index,name,utilization_gpu_pct,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-09-02T20:25:05.057162+08:00,0, NVIDIA GeForce RTX 5060, 7, 3863, 8151, 54, 46.89
2026-09-02T20:25:10.124059+08:00,0, NVIDIA GeForce RTX 5060, 9, 3873, 8151, 51, 35.19
2026-09-02T20:25:15.171986+08:00,0, NVIDIA GeForce RTX 5060, 45, 3863, 8151, 55, 57.40
2026-09-02T20:25:20.213585+08:00,0, NVIDIA GeForce RTX 5060, 55, 3862, 8151, 57, 74.81
2026-09-02T20:25:25.299700+08:00,0, NVIDIA GeForce RTX 5060, 31, 3848, 8151, 57, 64.81
2026-09-02T20:25:30.360336+08:00,0, NVIDIA GeForce RTX 5060, 41, 3858, 8151, 56, 66.68
2026-09-02T20:25:35.403977+08:00,0, NVIDIA GeForce RTX 5060, 34, 3869, 8151, 57, 65.60
2026-09-02T20:25:40.453232+08:00,0, NVIDIA GeForce RTX 5060, 34, 3870, 8151, 57, 68.34
2026-09-02T20:25:45.511643+08:00,0, NVIDIA GeForce RTX 5060, 46, 3853, 8151, 55, 68.40
2026-09-02T20:25:50.556277+08:00,0, NVIDIA GeForce RTX 5060, 37, 3857, 8151, 58, 67.74
2026-09-02T20:25:55.615893+08:00,0, NVIDIA GeForce RTX 5060, 38, 3844, 8151, 58, 67.81
2026-09-02T20:26:00.672373+08:00,0, NVIDIA GeForce RTX 5060, 45, 3853, 8151, 56, 65.57
2026-09-02T20:26:05.723182+08:00,0, NVIDIA GeForce RTX 5060, 41, 3869, 8151, 55, 67.67
2026-09-02T20:26:10.772961+08:00,0, NVIDIA GeForce RTX 5060, 14, 3869, 8151, 54, 46.91
2026-09-02T20:26:15.913757+08:00,0, NVIDIA GeForce RTX 5060, 2, 3869, 8151, 53, 32.73
2026-09-02T20:26:20.976479+08:00,0, NVIDIA GeForce RTX 5060, 14, 3858, 8151, 51, 32.13
2026-09-02T20:26:26.025287+08:00,0, NVIDIA GeForce RTX 5060, 55, 3874, 8151, 55, 74.00
2026-09-02T20:26:31.073734+08:00,0, NVIDIA GeForce RTX 5060, 47, 3874, 8151, 55, 73.03
2026-09-02T20:26:36.122105+08:00,0, NVIDIA GeForce RTX 5060, 49, 3862, 8151, 58, 71.52
2026-09-02T20:26:41.167526+08:00,0, NVIDIA GeForce RTX 5060, 50, 3862, 8151, 57, 73.34
2026-09-02T20:26:46.214658+08:00,0, NVIDIA GeForce RTX 5060, 43, 3874, 8151, 55, 71.66
2026-09-02T20:26:51.277633+08:00,0, NVIDIA GeForce RTX 5060, 52, 3874, 8151, 56, 74.99
