structure_id,shard,offset,name,md5
634d922b49b0ce94eb0d67b9,dataset/raw/structures/0041edd589ff4f9eada68dbb24408a08.json.gz,7,spuds_structure,e97513dce1c441bc6fc9677766005798
6347110a660f1387211bb504,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,0,spuds_structure,fe9fc0d168dbdd9db46d1d9473bd1b06
6347110a660f1387211bb506,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,1,spuds_structure,63a3eefbc5ba196872119674f8cf9f51
6347110a660f1387211bb508,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,2,spuds_structure,eff7d6b68e6e26ac5916d8073d5b55b4
6347110b103349a28b1bbf21,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,3,spuds_structure,dd346070d695ccef79ee68313e20b6bd
6347110b103349a28b1bbf22,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,4,spuds_structure,53f074a8991e7de1abbcd68262828069
6347110b103349a28b1bbf25,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,5,spuds_structure,d46e05f654baba76b6be1f6128ae3024
6347110b103349a28b1bbf27,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,6,spuds_structure,2130950588d7c9d3b5e382fd5b7a1f88
6347110b660f1387211bb50a,dataset/raw/structures/004b4ba7ce1a563050929d26a9854a81.json.gz,7,spuds_structure,0542aed6e7e500740ccf9fb562f4fc08
63470c05660f1387211b928e,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,0,spuds_structure,297773fdbecdf47fa34037ba84d7dc8c
63470c05660f1387211b928f,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,1,spuds_structure,b688245ed9aa617f7bd819588b27b2b9
63470c05660f1387211b9292,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,2,spuds_structure,d85e6851aacaa646e0f775227cfdbae2
63470c06103349a28b1b97de,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,3,spuds_structure,303d3622ccc4eee014e1fc726aadf85e
63470c06103349a28b1b97df,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,4,spuds_structure,e729fec69b5915271430d02eb7d600e6
63470c06660f1387211b9293,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,5,spuds_structure,afec4eaeee1fbfb48fea5dae4d2e6004
63470c06660f1387211b9296,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,6,spuds_structure,3d5b20032a8373300b1d99568a437cbd
